Gene symbol	Entrez gene ID	Description	RefSeq accession	Molecular class	empty
ICAM4	3386	Intercellular adhesion molecule 4	NP_071772.1	Adhesion molecule	
ICAM4	3386	Intercellular adhesion molecule 4	NP_001034221.1	Adhesion molecule	
RHD	6007	"Rhesus blood group, D antigen"	NP_057208.2	Integral membrane protein	
RHD	6007	"Rhesus blood group, D antigen"	NP_057309.2	Integral membrane protein	
RHCE	6006	Blood group rhesus system Cc/Ee polypeptide	NP_065231.2	Integral membrane protein	
RHCE	6006	Blood group rhesus system Cc/Ee polypeptide	NP_619522.2	Integral membrane protein	
RHCE	6006	Blood group rhesus system Cc/Ee polypeptide	NP_619523.2	Integral membrane protein	
RHCE	6006	Blood group rhesus system Cc/Ee polypeptide	NP_619524.2	Integral membrane protein	
GYPB	2994	Glycophorin B	NP_002091.2	Unclassified	
CD80	941	CD80 antigen	NP_005182.1	Cell surface receptor	
CD79A	973	Ig alpha	NP_001774.1	B cell antigen receptor	
CD79A	973	Ig alpha	NP_067612.1	B cell antigen receptor	
MS4A1	931	B-lymphocyte cell-surface antigen B1	NP_690605.1	Cell surface receptor;Ion channel	
MS4A1	931	B-lymphocyte cell-surface antigen B1	NP_068769.2	Cell surface receptor;Ion channel	
BGLAP	632	Osteocalcin	NP_954642.1	Secreted polypeptide	
BMP2	650	Bone morphogenetic protein 2	NP_001191.1	Ligand	
BMP4	652	Bone morphogenetic protein 4	NP_001193.2	Ligand	
BMP4	652	Bone morphogenetic protein 4	NP_570911.2	Ligand	
BMP4	652	Bone morphogenetic protein 4	NP_570912.2	Ligand	
BMP3	651	Bone morphogenetic protein 3	NP_001192.2	Ligand	
BMP1	649	Bone morphogenic protein 1	NP_006120.1	Metallo protease	
BMP1	649	Bone morphogenic protein 1	NP_001190.1	Metallo protease	
BMP1	649	Bone morphogenic protein 1	NP_006119.1	Metallo protease	
BMP1	649	Bone morphogenic protein 1	NP_006123.1	Metallo protease	
BMP1	649	Bone morphogenic protein 1	NP_006122.1	Metallo protease	
BMP1	649	Bone morphogenic protein 1	NP_006121.1	Metallo protease	
BMP5	653	Bone morphogenetic protein 5	NP_066551.1	Ligand	
BMP6	654	Bone morphogenetic protein 6	NP_001709.1	Ligand	
BMP7	655	Bone morphogenetic protein 7	NP_001710.1	Ligand	
BDKRB2	624	Bradykinin receptor 2	NP_000614.1	G protein coupled receptor	
BDNF	627	Brain derived neurotrophic factor	NP_001700.2	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137280.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137281.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137282.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137283.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137284.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137285.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137286.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137287.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137288.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_733927.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_733930.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_733928.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_733929.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_733931.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137277.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137278.1	Ligand	
BDNF	627	Brain derived neurotrophic factor	NP_001137279.1	Ligand	
YWHAH	7533	14-3-3 Eta	NP_003396.1	Adapter molecule	
BCAT1	586	Branched-chain amino acid aminotransferase	NP_005495.2	Enzyme: Aminotransferase	
BCAT2	587	Branched-chain aminotransferase 2	NP_001181.2	Enzyme: Aminotransferase	
BRCA1	672	BRCA1	NP_009225.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009236.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009237.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009226.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009227.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009228.2	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009229.2	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009230.2	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009231.2	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009232.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009233.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009234.1	Transcription regulatory protein	
BRCA1	672	BRCA1	NP_009235.2	Transcription regulatory protein	
TFF1	7031	Trefoil factor 1	NP_003216.1	Secreted polypeptide	
POU4F2	5458	BRN3B	NP_004566.2	Transcription factor	
UCP1	7350	Uncoupling protein 1	NP_068605.1	Transport/cargo protein	
DST	667	Bullous pemphigoid antigen 1	NP_899236.1	Cytoskeletal associated protein	
DST	667	Bullous pemphigoid antigen 1	NP_001714.1	Cytoskeletal associated protein	
DST	667	Bullous pemphigoid antigen 1	NP_056363.2	Cytoskeletal associated protein	
DST	667	Bullous pemphigoid antigen 1	NP_065121.2	Cytoskeletal associated protein	
DST	667	Bullous pemphigoid antigen 1	NP_001138241.1	Cytoskeletal associated protein	
DST	667	Bullous pemphigoid antigen 1	NP_001138242.1	Cytoskeletal associated protein	
DST	667	Bullous pemphigoid antigen 1	NP_001138243.1	Cytoskeletal associated protein	
COL17A1	1308	Collagen XVII	NP_000485.3	Anchor protein	
COL17A1	1308	Collagen XVII	NP_570134.1	Anchor protein	
C5AR1	728	Complement component 5 receptor 1	NP_001727.1	G protein coupled receptor	
CDH15	1013	Cadherin 15	NP_004924.1	Adhesion molecule	
CDH2	1000	Cadherin 2	NP_001783.2	Adhesion molecule	
CDH3	1001	Cadherin 3	NP_001784.2	Adhesion molecule	
CTNNA2	1496	"Catenin, alpha 2"	NP_004380.2	Cytoskeletal protein	
CALB1	793	Calbindin 1	NP_004920.1	Calcium binding protein	
CALB2	794	Calbindin 2	NP_001731.2	Calcium binding protein	
CALB2	794	Calbindin 2	NP_009018.1	Calcium binding protein	
CALB2	794	Calbindin 2	NP_009019.1	Calcium binding protein	
ANXA6	309	Annexin VI	NP_001146.2	Calcium binding protein	
ANXA6	309	Annexin VI	NP_004024.2	Calcium binding protein	
S100A10	6281	"Calpactin I, light chain"	NP_002957.1	Calcium binding protein	
CAST	831	Calpastatin	NP_001741.4	Protease inhibitor	
CAST	831	Calpastatin	NP_001035910.1	Protease inhibitor	
CAST	831	Calpastatin	NP_001035911.1	Protease inhibitor	
CAST	831	Calpastatin	NP_775086.1	Protease inhibitor	
CAST	831	Calpastatin	NP_775083.1	Protease inhibitor	
CAST	831	Calpastatin	NP_775084.1	Protease inhibitor	
CAST	831	Calpastatin	NP_775085.1	Protease inhibitor	
CAST	831	Calpastatin	NP_001035905.1	Protease inhibitor	
CAST	831	Calpastatin	NP_001035906.1	Protease inhibitor	
CAST	831	Calpastatin	NP_001035907.1	Protease inhibitor	
CAST	831	Calpastatin	NP_001035908.1	Protease inhibitor	
CAST	831	Calpastatin	NP_001035909.1	Protease inhibitor	
PPP3CA	5530	Calcineurin A alpha	NP_000935.1	Serine/threonine phosphatase	
PPP3CA	5530	Calcineurin A alpha	NP_001124163.1	Serine/threonine phosphatase	
PPP3CA	5530	Calcineurin A alpha	NP_001124164.1	Serine/threonine phosphatase	
PPP3CB	5532	Calcineurin A2	AAH28049.1	Serine/threonine phosphatase	
PPP3CB	5532	Calcineurin A2	NP_066955.1	Serine/threonine phosphatase	
PPP3CB	5532	Calcineurin A2	NP_001135825.1	Serine/threonine phosphatase	
PPP3CB	5532	Calcineurin A2	NP_001135826.1	Serine/threonine phosphatase	
PPP3CC	5533	Calcineurin A3	NP_005596.2	Serine/threonine phosphatase;ATPase	
S100A6	6277	Calcyclin	NP_055439.1	Calcium binding protein	
CALCA	796	"Calcitonin/calcitonin-related polypeptide, alpha"	NP_001732.1	Peptide hormone	
CALCA	796	"Calcitonin/calcitonin-related polypeptide, alpha"	NP_001029124.1	Peptide hormone	
CALCA	796	"Calcitonin/calcitonin-related polypeptide, alpha"	NP_001029125.1	Peptide hormone	
CALCR	799	Calcitonin receptor	NP_001733.1	Cell surface receptor	
CAPNS1	826	"Calpain, small subunit 1"	NP_001740.1	Regulatory/other subunit	
CAPNS1	826	"Calpain, small subunit 1"	NP_001003962.1	Regulatory/other subunit	
CALM1	801	Calmodulin 1	NP_008819.1	Calcium binding protein	
CALM2	805	Calmodulin 2	NP_001734.1	Calcium binding protein	
CALM3	808	Calmodulin 3	NP_005175.2	Calcium binding protein	
CALML3	810	Calmodulin like 3	NP_005176.1	Calcium binding protein	
CACNA2D1	781	"Calcium channel, voltage dependent, alpha 2/delta subunit 1"	NP_000713.2	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_000710.5	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123308.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123309.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123310.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123311.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123312.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123313.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123314.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123315.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123316.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123318.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123299.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_955630.2	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123301.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123302.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123303.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123304.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123305.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123306.1	Voltage gated channel	
CACNA1C	775	"Calcium channel, voltage dependent, L type, alpha 1C subunit"	NP_001123307.1	Voltage gated channel	
CACNA1D	776	"Calcium channel voltage dependent, L type alpha 1D subunit"	NP_000711.1	Voltage gated channel	
CACNA1D	776	"Calcium channel voltage dependent, L type alpha 1D subunit"	NP_001122311.1	Voltage gated channel	
CACNA1D	776	"Calcium channel voltage dependent, L type alpha 1D subunit"	NP_001122312.1	Voltage gated channel	
CACNA1S	779	"Calcium channel, voltage-dependent, L type, alpha-1S subunit"	NP_000060.2	Voltage gated channel	
CACNG1	786	"Calcium channel, voltage dependent, gamma subunit 1"	NP_000718.1	Voltage gated channel	
CAPS	828	Calcyphosine	NP_004049.1	Calcium binding protein	
CAPS	828	Calcyphosine	NP_542157.1	Calcium binding protein	
CALD1	800	Caldesmon 1	NP_149129.2	Cytoskeletal associated protein	
CALD1	800	Caldesmon 1	NP_149347.2	Cytoskeletal associated protein	
CALD1	800	Caldesmon 1	NP_149130.1	Cytoskeletal associated protein	
CALD1	800	Caldesmon 1	NP_004333.1	Cytoskeletal associated protein	
CALD1	800	Caldesmon 1	NP_149131.1	Cytoskeletal associated protein	
CANX	821	Calnexin	NP_001737.1	Chaperone	
CANX	821	Calnexin	NP_001019820.1	Chaperone	
CAPN1	823	"Calpain, large polypeptide L1"	NP_005177.2	Cysteine protease	
CAPN2	824	Calpain 2	NP_001739.2	Cysteine protease	
CAPN3	825	Calpain 3	NP_000061.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_077320.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_775110.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_775111.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_775113.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_997630.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_997629.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_997632.1	Cysteine protease	
CAPN3	825	Calpain 3	NP_775112.1	Cysteine protease	
CASQ2	845	Calsequestrin 2	NP_001223.2	Calcium binding protein	
CD52	1043	CD52	NP_001794.2	Integral membrane protein	
NUP214	8021	NUP214	NP_005076.3	Transport/cargo protein	
CNR1	1268	Cannabinoid receptor 1	NP_057167.2	G protein coupled receptor	
CNR1	1268	Cannabinoid receptor 1	NP_149421.2	G protein coupled receptor	
CA3	761	Carbonic anhydrase III	NP_005172.1	Enzyme: Carbonic anhydrase	
CA4	762	Carbonic anhydrase IV	NP_000708.1	Enzyme: Carbonic anhydrase	
CA5A	763	Carbonic anhydrase V	NP_001730.1	Enzyme: Carbonic anhydrase	
CA7	766	Carbonic anhydrase VII	NP_005173.1	Enzyme: Carbonic anhydrase	
CA7	766	Carbonic anhydrase VII	NP_001014435.1	Enzyme: Carbonic anhydrase	
CA6	765	Carbonic anhydrase VI	NP_001206.2	Enzyme: Carbonic anhydrase	
CA1	759	Carbonic anhydrase I	NP_001729.1	Enzyme: Carbonic anhydrase	
CA1	759	Carbonic anhydrase I	NP_001122301.1	Enzyme: Carbonic anhydrase	
CA1	759	Carbonic anhydrase I	NP_001122302.1	Enzyme: Carbonic anhydrase	
CA1	759	Carbonic anhydrase I	NP_001122303.1	Enzyme: Carbonic anhydrase	
CA8	767	Carbonic anhydrase VIII	NP_004047.3	Enzyme: Carbonic anhydrase	
CBR1	873	Carbonyl reductase 1	NP_001748.1	Enzyme: Oxidoreductase	
CES1	1066	Carboxylesterase 1	NP_001257.4	Enzyme: Esterase	
CES1	1066	Carboxylesterase 1	NP_001020365.1	Enzyme: Esterase	
CES1	1066	Carboxylesterase 1	NP_001020366.1	Enzyme: Esterase	
CPA1	1357	Carboxypeptidase A1	NP_001859.1	Carboxypeptidase	
CPA3	1359	Carboxypeptidase A3	NP_001861.2	Carboxypeptidase	
CPB1	1360	Carboxypeptidase B1	NP_001862.2	Carboxypeptidase	
CPE	1363	Carboxypeptidase E	NP_001864.1	Carboxypeptidase	
CPM	1368	Carboxypeptidase M	NP_001865.1	Carboxypeptidase	
CPM	1368	Carboxypeptidase M	NP_001005502.1	Carboxypeptidase	
CPM	1368	Carboxypeptidase M	NP_938079.1	Carboxypeptidase	
CEACAM5	1048	Carcinoembryonic antigen-related cell adhesion molecule 5	NP_004354.2	Adhesion molecule	
HAPLN1	1404	Cartilage link protein	NP_001875.1	Extracellular matrix protein	
MATN1	4146	Matrilin 1	NP_002370.1	Extracellular matrix protein	
CSNK2A1	1457	"Casein kinase II, alpha 1"	NP_001886.1	Serine/threonine kinase	
CSNK2A1	1457	"Casein kinase II, alpha 1"	NP_808228.1	Serine/threonine kinase	
CSNK2A1	1457	"Casein kinase II, alpha 1"	NP_808227.1	Serine/threonine kinase	
CSNK2B	1460	"Casein kinase II, beta"	NP_001311.3	Serine/threonine kinase	
CSNK2A2	1459	"Casein kinase II, alpha 2"	NP_001887.1	Serine/threonine kinase	
CSN1S1	1446	Casein alpha s1	NP_001881.1	Transport/cargo protein	
CSN1S1	1446	Casein alpha s1	NP_001020275.1	Transport/cargo protein	
CSN2	1447	Casein beta	NP_001882.1	Transport/cargo protein	
CAT	847	Catalase	NP_001743.1	Enzyme: Oxidoreductase	
TYRP1	7306	Tyrosinase related protein 1	NP_000541.1	Enzyme: Oxidoreductase	
COMT	1312	Catechol-O-methyltransferase	NP_000745.1	Enzyme: Acyltransferase	
COMT	1312	Catechol-O-methyltransferase	NP_009294.1	Enzyme: Acyltransferase	
COMT	1312	Catechol-O-methyltransferase	NP_001128633.1	Enzyme: Acyltransferase	
COMT	1312	Catechol-O-methyltransferase	NP_001128634.1	Enzyme: Acyltransferase	
CTNNA1	1495	Catenin alpha 1	NP_001894.2	Cytoskeletal protein	
CTNNB1	1499	Catenin beta	NP_001895.1	Adhesion molecule	
CTNNB1	1499	Catenin beta	NP_001091679.1	Adhesion molecule	
CTNNB1	1499	Catenin beta	NP_001091680.1	Adhesion molecule	
CTSB	1508	Cathepsin B	NP_680090.1	Cysteine protease	
CTSB	1508	Cathepsin B	NP_001899.1	Cysteine protease	
CTSB	1508	Cathepsin B	NP_680091.1	Cysteine protease	
CTSB	1508	Cathepsin B	NP_680092.1	Cysteine protease	
CTSB	1508	Cathepsin B	NP_680093.1	Cysteine protease	
CTSH	1512	Cathepsin H	NP_004381.2	Cysteine protease	
CTSH	1512	Cathepsin H	NP_683880.1	Cysteine protease	
CTSG	1511	Cathepsin G	NP_001902.1	Serine protease	
GZMH	2999	Granzyme H	NP_219491.1	Serine protease	
CTSD	1509	Cathepsin D	NP_001900.1	Aspartic protease	
CTSS	1520	Cathepsin S	NP_004070.3	Cysteine protease	
CTSL1	1514	Cathepsin L	NP_001903.1	Cysteine protease	
CTSL1	1514	Cathepsin L	NP_666023.1	Cysteine protease	
CTSE	1510	Cathepsin E	NP_001901.1	Aspartic protease	
CTSE	1510	Cathepsin E	NP_683865.1	Aspartic protease	
CUX1	1523	Cut like 1	NP_853530.2	Transcription regulatory protein	
CUX1	1523	Cut like 1	NP_001904.2	Transcription regulatory protein	
CUX1	1523	Cut like 1	NP_852477.1	Transcription regulatory protein	
CEBPA	1050	C/EBP alpha	NP_004355.2	Transcription factor	
CEBPD	1052	CCAAT/enhancer binding delta	NP_005186.2	Transcription factor	
CDKN1A	1026	Cyclin dependent kinase inhibitor 1A	NP_510867.1	Cell cycle control protein	
CDKN1A	1026	Cyclin dependent kinase inhibitor 1A	NP_000380.1	Cell cycle control protein	
CKS1B	1163	Cdc28 protein kinase 1B	NP_001817.1	Cell cycle control protein	
CKS2	1164	Cdc2 associated protein CKS2	NP_001818.1	Cell cycle control protein	
NCAM1	4684	Neural cell adhesion molecule 1	NP_000606.3	Adhesion molecule	
NCAM1	4684	Neural cell adhesion molecule 1	NP_851996.2	Adhesion molecule	
NCAM1	4684	Neural cell adhesion molecule 1	NP_001070150.1	Adhesion molecule	
CDK1	983	CDC2	NP_001777.1	Serine/threonine kinase	
CDK1	983	CDC2	NP_203698.1	Serine/threonine kinase	
CDK1	983	CDC2	NP_001124301.1	Serine/threonine kinase	
MCM2	4171	"MCM2 minichromosome maintenance deficient 2, mitotin"	NP_004517.2	DNA binding protein	
CDC27	996	"Anaphase promoting complex, subunit 3"	NP_001247.3	Cell cycle control protein	
CDC27	996	"Anaphase promoting complex, subunit 3"	NP_001107563.1	Cell cycle control protein	
CDC25A	993	CDC 25A	NP_001780.2	Dual specificity phosphatase	
CDC25A	993	CDC 25A	NP_963861.1	Dual specificity phosphatase	
CDC34	997	Cell division cycle 34	NP_004350.1	Enzyme: Ligase	
CDC25B	994	CDC 25B	NP_068660.1	Dual specificity phosphatase	
CDC25B	994	CDC 25B	NP_004349.1	Dual specificity phosphatase	
CDC25B	994	CDC 25B	NP_068658.1	Dual specificity phosphatase	
CDC25B	994	CDC 25B	NP_068659.1	Dual specificity phosphatase	
CDC25B	994	CDC 25B	NP_997695.1	Dual specificity phosphatase	
CDC2L2	985	Cell division cycle 2 like 2	None	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_277073.1	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_284922.1	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_277074.1	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_277070.1	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_277071.2	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_277076.1	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_284923.1	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_076916.2	-	
CDC2L2	985	Cell division cycle 2 like 2	NP_277069.1	-	
CDC42	998	CDC42	NP_001782.1	GTPase	
CDC42	998	CDC42	NP_426359.1	GTPase	
CDC42	998	CDC42	NP_001034891.1	GTPase	
CDK2	1017	Cyclin dependent kinase 2	NP_001789.2	Cell cycle control protein	
CDK2	1017	Cyclin dependent kinase 2	NP_439892.2	Cell cycle control protein	
CNBP	7555	Zinc finger protein 9	NP_003409.1	RNA binding protein	
CNBP	7555	Zinc finger protein 9	NP_001120664.1	RNA binding protein	
CNBP	7555	Zinc finger protein 9	NP_001120665.1	RNA binding protein	
CNBP	7555	Zinc finger protein 9	NP_001120666.1	RNA binding protein	
CNBP	7555	Zinc finger protein 9	NP_001120667.1	RNA binding protein	
CNBP	7555	Zinc finger protein 9	NP_001120668.1	RNA binding protein	
RBL1	5933	Retinoblastoma like 1	NP_002886.2	Cell cycle control protein	
RBL1	5933	Retinoblastoma like 1	NP_899662.1	Cell cycle control protein	
CENPA	1058	Centromeric protein a	NP_001800.1	DNA binding protein	
CENPA	1058	Centromeric protein a	NP_001035891.1	DNA binding protein	
CENPB	1059	Centromeric protein b	NP_001801.1	DNA binding protein	
CENPC1	1060	Centromeric protein c1	NP_001803.2	DNA binding protein	
CENPE	1062	Centromeric protein E	NP_001804.2	DNA binding protein	
CP	1356	Ceruloplasmin	NP_000087.1	Enzyme: Oxidoreductase	
HSPD1	3329	Heat shock 60 KD protein 1 (chaperonin)	NP_002147.2	Heat shock protein	
HSPD1	3329	Heat shock 60 KD protein 1 (chaperonin)	NP_955472.1	Heat shock protein	
CHN1	1123	Chimerin 1	NP_001813.1	GTPase activating protein	
CHN1	1123	Chimerin 1	NP_001020372.2	GTPase activating protein	
CLCN1	1180	Chloride channel 1	NP_000074.2	Voltage gated channel	
CCK	885	Cholecystokinin	NP_000720.1	Peptide hormone	
CCKAR	886	Cholecystokinin A receptor	NP_000721.1	G protein coupled receptor	
CCKBR	887	Cholecystokinin B receptor	NP_795344.1	G protein coupled receptor	
CYP7A1	1581	Cytochrome P450 subfamily VIIA polypeptide 1	NP_000771.2	Enzyme: Hydroxylase	
CETP	1071	Lipid transfer protein I	NP_000069.2	Transport/cargo protein	
CYP11A1	1583	"Cytochrome P450, subfamily XIA"	NP_000772.2	Enzyme: Oxidoreductase	
CYP11A1	1583	"Cytochrome P450, subfamily XIA"	NP_001093243.1	Enzyme: Oxidoreductase	
CHKA	1119	Choline kinase	NP_001268.2	Lipid Kinase	
CHKA	1119	Choline kinase	NP_997634.1	Lipid Kinase	
CHRM2	1129	"Cholinergic receptor, muscarinic 2"	NP_000730.1	G protein coupled receptor	
CHRM2	1129	"Cholinergic receptor, muscarinic 2"	NP_001006633.1	G protein coupled receptor	
CHRM2	1129	"Cholinergic receptor, muscarinic 2"	NP_001006627.1	G protein coupled receptor	
CHRM2	1129	"Cholinergic receptor, muscarinic 2"	NP_001006628.1	G protein coupled receptor	
CHRM2	1129	"Cholinergic receptor, muscarinic 2"	NP_001006629.1	G protein coupled receptor	
